LAT_1KM_GRP,LON_1KM_GRP,AREA_NAME,TOTAL_EVENTS
34.03,-118.41,PACIFIC,1186
34.22,-118.37,FOOTHILL,1173
33.96,-118.29,SOUTHEAST,1169
34.21,-118.54,WEST VALLEY,1168
34.02,-118.22,HOLLENBECK,1166
34.28,-118.41,FOOTHILL,1164
34.25,-118.42,FOOTHILL,1163
34.04,-118.36,WILSHIRE,1162
34.11,-118.19,NORTHEAST,1160
34.03,-118.26,CENTRAL,1156
33.96,-118.38,PACIFIC,1155
34.17,-118.59,TOPANGA,1155
34.22,-118.39,FOOTHILL,1147
34.02,-118.42,PACIFIC,1140
34.02,-118.2,HOLLENBECK,1131
34.15,-118.43,VAN NUYS,1131
34.26,-118.5,DEVONSHIRE,1131
34.03,-118.45,WEST LA,1129
34.18,-118.61,TOPANGA,1129
34.17,-118.51,WEST VALLEY,1126
34.18,-118.59,TOPANGA,1125
33.96,-118.4,PACIFIC,1119
34.19,-118.55,WEST VALLEY,1116
34.17,-118.53,WEST VALLEY,1113
33.79,-118.27,HARBOR,1113
34.31,-118.44,MISSION,1105
34.03,-118.4,PACIFIC,1105
34.09,-118.29,NORTHEAST,1101
34.08,-118.3,OLYMPIC,1100
34.04,-118.43,WEST LA,1099
34.03,-118.37,SOUTHWEST,1099
34.05,-118.23,CENTRAL,1099
34.04,-118.25,NEWTON,1097
34.23,-118.56,DEVONSHIRE,1089
34.11,-118.29,NORTHEAST,1087
33.97,-118.33,77TH STREET,1086
34.08,-118.34,WILSHIRE,1079
34.18,-118.37,N HOLLYWOOD,1078
34.04,-118.2,HOLLENBECK,1076
34.15,-118.46,VAN NUYS,1069
34.17,-118.6,TOPANGA,1068
34.04,-118.37,WILSHIRE,1063
34.03,-118.21,HOLLENBECK,1063
34.19,-118.38,N HOLLYWOOD,1062
34.2,-118.42,N HOLLYWOOD,1060
34.09,-118.3,HOLLYWOOD,1058
34.23,-118.54,DEVONSHIRE,1053
34.27,-118.43,FOOTHILL,1044
34.22,-118.44,MISSION,1043
34.16,-118.39,N HOLLYWOOD,1042
34.09,-118.23,NORTHEAST,1039
34.03,-118.23,NEWTON,1036
33.98,-118.32,77TH STREET,1033
33.99,-118.25,NEWTON,1025
34.26,-118.47,MISSION,1020
34.0,-118.44,PACIFIC,1008
34.16,-118.4,N HOLLYWOOD,1007
34.02,-118.37,SOUTHWEST,1004
33.93,-118.24,SOUTHEAST,1000
34.05,-118.36,WILSHIRE,994
33.96,-118.26,77TH STREET,992
34.23,-118.55,DEVONSHIRE,988
33.96,-118.43,PACIFIC,988
33.79,-118.29,HARBOR,987
34.19,-118.54,WEST VALLEY,983
34.12,-118.18,NORTHEAST,979
34.05,-118.43,WEST LA,976
33.98,-118.47,PACIFIC,976
33.93,-118.29,SOUTHEAST,976
34.19,-118.41,N HOLLYWOOD,976
33.72,-118.29,HARBOR,974
34.2,-118.41,N HOLLYWOOD,973
34.31,-118.43,MISSION,968
33.99,-118.42,PACIFIC,966
34.0,-118.24,NEWTON,965
34.18,-118.47,VAN NUYS,963
33.93,-118.23,SOUTHEAST,961
34.06,-118.43,WEST LA,958
34.21,-118.58,TOPANGA,957
34.04,-118.32,WILSHIRE,952
34.17,-118.44,VAN NUYS,951
33.95,-118.23,SOUTHEAST,949
33.92,-118.29,SOUTHEAST,947
34.19,-118.53,WEST VALLEY,944
34.15,-118.39,N HOLLYWOOD,944
34.17,-118.61,TOPANGA,939
34.26,-118.43,FOOTHILL,927
34.11,-118.28,NORTHEAST,925
34.0,-118.32,SOUTHWEST,922
34.17,-118.46,VAN NUYS,921
34.02,-118.33,SOUTHWEST,921
34.08,-118.21,HOLLENBECK,919
34.25,-118.29,FOOTHILL,916
34.08,-118.27,RAMPART,915
34.09,-118.28,RAMPART,914
34.18,-118.6,TOPANGA,914
34.2,-118.37,N HOLLYWOOD,911
34.21,-118.47,VAN NUYS,908
34.23,-118.37,FOOTHILL,907
34.18,-118.46,VAN NUYS,902
33.79,-118.25,HARBOR,901
34.2,-118.55,WEST VALLEY,894
34.18,-118.39,N HOLLYWOOD,893
34.12,-118.23,NORTHEAST,887
34.06,-118.2,HOLLENBECK,884
34.07,-118.32,OLYMPIC,878
34.2,-118.38,N HOLLYWOOD,878
34.23,-118.44,MISSION,877
33.99,-118.41,PACIFIC,876
34.11,-118.27,NORTHEAST,872
34.06,-118.37,WILSHIRE,872
34.06,-118.45,WEST LA,867
33.98,-118.42,PACIFIC,867
34.0,-118.33,SOUTHWEST,865
34.1,-118.28,NORTHEAST,864
34.03,-118.43,PACIFIC,864
33.78,-118.25,HARBOR,863
33.94,-118.23,SOUTHEAST,861
34.21,-118.6,TOPANGA,861
34.2,-118.61,TOPANGA,860
34.25,-118.59,DEVONSHIRE,858
34.2,-118.57,TOPANGA,857
34.09,-118.27,NORTHEAST,856
34.04,-118.47,WEST LA,854
33.96,-118.42,PACIFIC,847
34.07,-118.25,RAMPART,845
34.15,-118.36,N HOLLYWOOD,845
34.15,-118.41,N HOLLYWOOD,842
34.2,-118.4,N HOLLYWOOD,842
34.14,-118.22,NORTHEAST,839
34.09,-118.22,NORTHEAST,838
34.15,-118.42,VAN NUYS,835
34.26,-118.6,DEVONSHIRE,835
33.75,-118.29,HARBOR,833
33.92,-118.28,SOUTHEAST,827
34.0,-118.43,PACIFIC,827
34.23,-118.4,FOOTHILL,827
33.8,-118.26,HARBOR,822
34.2,-118.52,WEST VALLEY,820
33.98,-118.41,PACIFIC,818
34.09,-118.3,RAMPART,816
34.24,-118.46,MISSION,816
34.11,-118.34,HOLLYWOOD,815
34.07,-118.34,WILSHIRE,815
34.02,-118.4,PACIFIC,810
33.94,-118.41,PACIFIC,808
34.08,-118.27,NORTHEAST,807
34.23,-118.59,DEVONSHIRE,802
34.12,-118.19,NORTHEAST,795
34.12,-118.2,NORTHEAST,794
34.18,-118.41,N HOLLYWOOD,793
34.19,-118.43,VAN NUYS,791
34.21,-118.48,WEST VALLEY,785
34.17,-118.62,TOPANGA,781
34.0,-118.48,PACIFIC,780
34.07,-118.2,HOLLENBECK,778
34.04,-118.39,WEST LA,777
34.16,-118.45,VAN NUYS,772
34.05,-118.42,WEST LA,770
34.09,-118.17,HOLLENBECK,770
34.02,-118.32,SOUTHWEST,769
34.02,-118.36,SOUTHWEST,767
34.2,-118.58,TOPANGA,767
34.26,-118.42,FOOTHILL,766
34.17,-118.45,VAN NUYS,761
34.11,-118.25,NORTHEAST,759
34.17,-118.58,TOPANGA,757
33.96,-118.39,PACIFIC,756
34.03,-118.4,WEST LA,755
34.16,-118.49,WEST VALLEY,755
33.72,-118.3,HARBOR,751
33.77,-118.27,HARBOR,747
34.09,-118.28,NORTHEAST,745
33.73,-118.3,HARBOR,744
33.71,-118.29,HARBOR,741
34.18,-118.53,WEST VALLEY,740
34.22,-118.59,TOPANGA,740
34.19,-118.62,TOPANGA,740
34.28,-118.51,DEVONSHIRE,736
